sample	prj	mixNum	round	nCtg	cov	signal
48	SARS-Cov-2	5	1	2350	99.7091	3.9086
78	SARS-Cov-2	5	1	499	99.9030	15.7390
98	SARS-Cov-2	5	1	348	99.7960	21.6173
33	SARS-Cov-2	5	1	1049	99.9131	8.4132
63	SARS-Cov-2	5	1	12001	99.7492	0.2607
92	SARS-Cov-2	5	1	2399	99.8562	2.4376
99	SARS-Cov-2	5	1	2209	99.8930	1.4894
85	SARS-Cov-2	5	1	725	99.6923	9.7835
42	SARS-Cov-2	5	1	207	98.7225	29.4618
72	SARS-Cov-2	5	1	1199	55.3322	3.1501
10	SARS-Cov-2	5	1	233	99.7091	27.8118
8	SARS-Cov-2	5	1	782	99.7224	10.2853
49	SARS-Cov-2	5	1	4232	99.8094	1.9000
79	SARS-Cov-2	5	1	62	99.8930	53.8824
81	SARS-Cov-2	5	1	588	99.9264	15.5257
24	SARS-Cov-2	5	1	414	99.8729	18.9244
2	SARS-Cov-2	5	1	2830	99.7392	2.0546
21	SARS-Cov-2	5	1	77	99.7358	38.8408
84	SARS-Cov-2	5	1	363	99.7358	20.9340
50	SARS-Cov-2	5	1	223	99.7224	28.5959
67	SARS-Cov-2	5	1	1246	19.4362	1.2619
25	SARS-Cov-2	5	1	1222	1.5717	0.1024
76	SARS-Cov-2	5	1	1491	99.7358	5.1511
46	SARS-Cov-2	5	1	3692	99.7091	1.3219
37	SARS-Cov-2	5	1	118	99.7224	32.6188
96	SARS-Cov-2	5	1	576	99.7091	13.7809
12	SARS-Cov-2	5	1	232	99.7726	27.9225
70	SARS-Cov-2	5	1	1634	98.3446	4.2918
40	SARS-Cov-2	5	1	1875	99.8796	4.9610
19	SARS-Cov-2	5	1	104	99.7492	29.2224
34	SARS-Cov-2	5	1	113	99.8796	37.0452
90	SARS-Cov-2	5	1	791	99.8696	9.9656
64	SARS-Cov-2	5	1	3113	91.1280	2.2161
56	SARS-Cov-2	5	1	1455	94.7831	5.2595
23	SARS-Cov-2	5	1	167	99.8662	33.7374
87	SARS-Cov-2	5	1	3052	99.7392	1.9767
18	SARS-Cov-2	5	1	1162	99.8328	6.9369
27	SARS-Cov-2	5	1	795	99.6990	8.4418
65	SARS-Cov-2	5	1	257	99.7157	27.0874
83	SARS-Cov-2	5	1	3664	99.8261	1.1910
61	SARS-Cov-2	5	1	229	99.5552	22.2965
16	SARS-Cov-2	5	1	474	97.9969	15.9450
6	SARS-Cov-2	5	1	1858	99.6957	3.6991
58	SARS-Cov-2	5	1	322	99.7091	19.1949
52	SARS-Cov-2	5	1	323	81.7945	21.6402
31	SARS-Cov-2	5	1	469	99.7358	13.9443
3	SARS-Cov-2	5	1	1560	99.9064	5.6812
59	SARS-Cov-2	5	1	1418	99.7258	5.6559
35	SARS-Cov-2	5	1	315	99.9064	22.1638
22	SARS-Cov-2	5	1	214	99.7358	26.2639
74	SARS-Cov-2	5	1	995	99.8729	4.8771
44	SARS-Cov-2	5	1	1406	99.7124	3.9062
29	SARS-Cov-2	5	1	1176	99.8395	7.5319
30	SARS-Cov-2	5	1	3060	99.7191	2.1221
94	SARS-Cov-2	5	1	3700	94.8801	1.1384
57	SARS-Cov-2	5	1	1724	99.9030	4.5369
60	SARS-Cov-2	5	1	11561	99.7191	0.2649
86	SARS-Cov-2	5	1	955	99.6054	8.8888
13	SARS-Cov-2	5	1	498	99.8428	16.7447
28	SARS-Cov-2	5	1	1446	99.8796	5.7540
88	SARS-Cov-2	5	1	177	99.5920	30.0480
17	SARS-Cov-2	5	1	219	99.2275	23.6524
100	SARS-Cov-2	5	1	307	99.8562	22.7312
26	SARS-Cov-2	5	1	1543	99.8495	4.6114
53	SARS-Cov-2	5	1	2649	96.1676	2.7172
9	SARS-Cov-2	5	1	783	99.7258	10.9528
75	SARS-Cov-2	5	1	656	99.7124	11.5919
45	SARS-Cov-2	5	1	994	99.8428	6.7974
91	SARS-Cov-2	5	1	819	96.1776	7.8369
71	SARS-Cov-2	5	1	225	24.1548	6.8335
41	SARS-Cov-2	5	1	2116	99.4482	1.4846
89	SARS-Cov-2	5	1	2071	99.6522	2.6240
4	SARS-Cov-2	5	1	2300	99.7157	3.8765
7	SARS-Cov-2	5	1	960	99.8763	6.1432
95	SARS-Cov-2	5	1	1193	99.7124	6.2097
82	SARS-Cov-2	5	1	601	99.8729	12.6445
43	SARS-Cov-2	5	1	367	99.7592	20.2579
73	SARS-Cov-2	5	1	1198	99.8562	7.2054
93	SARS-Cov-2	5	1	305	99.7826	23.7148
62	SARS-Cov-2	5	1	2831	98.2410	1.4442
