prj	outbreak1	outbreak2	a	b	jd
Admed_SARS2_2020	rand.90	rand.6	0	10	0
Admed_SARS2_2020	rand.90	rand.3	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.26	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.53	2	8	0.25
Admed_SARS2_2020	rand.90	rand.51	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.57	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.55	0	10	0
Admed_SARS2_2020	rand.90	rand.52	0	10	0
Admed_SARS2_2020	rand.90	rand.24	0	10	0
Admed_SARS2_2020	rand.90	rand.28	0	10	0
Admed_SARS2_2020	rand.90	rand.40	0	10	0
Admed_SARS2_2020	rand.90	rand.29	0	10	0
Admed_SARS2_2020	rand.90	rand.83	0	10	0
Admed_SARS2_2020	rand.90	rand.81	0	10	0
Admed_SARS2_2020	rand.90	rand.82	0	10	0
Admed_SARS2_2020	rand.90	rand.87	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.85	0	10	0
Admed_SARS2_2020	rand.90	rand.1	0	10	0
Admed_SARS2_2020	rand.90	rand.70	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.56	0	10	0
Admed_SARS2_2020	rand.90	rand.21	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.23	0	10	0
Admed_SARS2_2020	rand.90	rand.30	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.60	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.89	0	10	0
Admed_SARS2_2020	rand.90	rand.88	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.9	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.84	0	10	0
Admed_SARS2_2020	rand.90	rand.25	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.27	2	8	0.25
Admed_SARS2_2020	rand.90	rand.22	0	10	0
Admed_SARS2_2020	rand.90	rand.59	0	10	0
Admed_SARS2_2020	rand.90	rand.58	0	10	0
Admed_SARS2_2020	rand.90	rand.7	0	10	0
Admed_SARS2_2020	rand.90	rand.54	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.4	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.10	0	10	0
Admed_SARS2_2020	rand.90	rand.86	0	10	0
Admed_SARS2_2020	rand.90	rand.12	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.94	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.17	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.99	0	10	0
Admed_SARS2_2020	rand.90	rand.98	0	10	0
Admed_SARS2_2020	rand.90	rand.8	0	10	0
Admed_SARS2_2020	rand.90	rand.15	0	10	0
Admed_SARS2_2020	rand.90	rand.46	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.11	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.13	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.100	0	10	0
Admed_SARS2_2020	rand.90	rand.76	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.63	0	10	0
Admed_SARS2_2020	rand.90	rand.61	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.49	0	10	0
Admed_SARS2_2020	rand.90	rand.20	0	10	0
Admed_SARS2_2020	rand.90	rand.48	0	10	0
Admed_SARS2_2020	rand.90	rand.33	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.31	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.44	0	10	0
Admed_SARS2_2020	rand.90	rand.65	0	10	0
Admed_SARS2_2020	rand.90	rand.32	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.67	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.62	0	10	0
Admed_SARS2_2020	rand.90	rand.37	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.96	0	10	0
Admed_SARS2_2020	rand.90	rand.35	2	8	0.25
Admed_SARS2_2020	rand.90	rand.78	0	10	0
Admed_SARS2_2020	rand.90	rand.79	0	10	0
Admed_SARS2_2020	rand.90	rand.74	0	10	0
Admed_SARS2_2020	rand.90	rand.5	0	10	0
Admed_SARS2_2020	rand.90	rand.73	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.71	0	10	0
Admed_SARS2_2020	rand.90	rand.77	0	10	0
Admed_SARS2_2020	rand.90	rand.75	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.72	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.64	0	10	0
Admed_SARS2_2020	rand.90	rand.69	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.80	0	10	0
Admed_SARS2_2020	rand.90	rand.68	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.39	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.16	0	10	0
Admed_SARS2_2020	rand.90	rand.38	0	10	0
Admed_SARS2_2020	rand.90	rand.41	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.43	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.34	0	10	0
Admed_SARS2_2020	rand.90	rand.42	0	10	0
Admed_SARS2_2020	rand.90	rand.47	0	10	0
Admed_SARS2_2020	rand.90	rand.45	0	10	0
Admed_SARS2_2020	rand.90	rand.50	0	10	0
Admed_SARS2_2020	rand.90	rand.2	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.93	2	8	0.25
Admed_SARS2_2020	rand.90	rand.91	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.92	1	9	0.111111111111111
Admed_SARS2_2020	rand.90	rand.66	0	10	0
Admed_SARS2_2020	rand.90	rand.36	0	10	0
Admed_SARS2_2020	rand.90	rand.19	0	10	0
Admed_SARS2_2020	rand.90	rand.18	2	8	0.25
Admed_SARS2_2020	rand.90	rand.95	2	8	0.25
Admed_SARS2_2020	rand.90	rand.97	0	10	0
Admed_SARS2_2020	rand.90	rand.14	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.3	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.26	0	10	0
Admed_SARS2_2020	rand.6	rand.53	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.51	0	10	0
Admed_SARS2_2020	rand.6	rand.57	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.55	0	10	0
Admed_SARS2_2020	rand.6	rand.52	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.24	0	10	0
Admed_SARS2_2020	rand.6	rand.28	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.40	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.29	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.83	0	10	0
Admed_SARS2_2020	rand.6	rand.81	0	10	0
Admed_SARS2_2020	rand.6	rand.82	2	8	0.25
Admed_SARS2_2020	rand.6	rand.87	0	10	0
Admed_SARS2_2020	rand.6	rand.85	0	10	0
Admed_SARS2_2020	rand.6	rand.1	0	10	0
Admed_SARS2_2020	rand.6	rand.70	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.56	0	10	0
